1000, 0.06265, 0.005
2000, 0.04977, 0.005
3000, 0.04400, 0.005
4000, 0.03777, 0.005
5000, 0.03334, 0.005
6000, 0.03264, 0.005
7000, 0.03112, 0.005
8000, 0.02922, 0.005
9000, 0.02683, 0.005
10000, 0.02605, 0.005
11000, 0.03672, 0.02
12000, 0.03024, 0.02
13000, 0.02832, 0.02
14000, 0.02580, 0.02
15000, 0.02516, 0.02
16000, 0.02535, 0.02
17000, 0.02421, 0.02
18000, 0.02329, 0.02
19000, 0.02109, 0.02
20000, 0.02129, 0.02
21000, 0.02052, 0.02
22000, 0.02174, 0.02
23000, 0.02052, 0.02
24000, 0.01976, 0.02
25000, 0.01986, 0.02
26000, 0.01783, 0.02
27000, 0.01832, 0.02
28000, 0.01847, 0.02
29000, 0.01780, 0.02
30000, 0.01984, 0.02
31000, 0.01568, 0.02
32000, 0.01764, 0.02
33000, 0.01730, 0.02
34000, 0.01614, 0.02
35000, 0.01537, 0.02
36000, 0.01681, 0.02
37000, 0.01537, 0.02
38000, 0.01529, 0.02
39000, 0.01589, 0.02
40000, 0.01491, 0.02
41000, 0.01427, 0.02
42000, 0.01502, 0.02
43000, 0.01582, 0.02
44000, 0.01403, 0.02
45000, 0.01484, 0.02
46000, 0.01380, 0.02
47000, 0.01365, 0.02
48000, 0.01564, 0.02
49000, 0.01386, 0.02
50000, 0.01467, 0.02
51000, 0.01366, 0.02
52000, 0.01538, 0.02
53000, 0.01331, 0.02
54000, 0.01351, 0.02
55000, 0.01408, 0.02
56000, 0.01427, 0.02
57000, 0.01333, 0.02
58000, 0.01289, 0.02
59000, 0.01272, 0.02
60000, 0.01308, 0.02
61000, 0.01298, 0.02
62000, 0.01267, 0.02
63000, 0.01308, 0.02
64000, 0.01216, 0.02
65000, 0.01315, 0.02
66000, 0.01146, 0.02
67000, 0.01254, 0.02
68000, 0.01349, 0.02
69000, 0.01295, 0.02
70000, 0.01170, 0.02
71000, 0.01250, 0.02
72000, 0.01280, 0.02
73000, 0.01183, 0.02
74000, 0.01191, 0.02
75000, 0.01203, 0.02
76000, 0.01184, 0.02
77000, 0.01094, 0.02
78000, 0.01352, 0.02
79000, 0.01135, 0.02
80000, 0.01151, 0.02
81000, 0.01192, 0.02
82000, 0.01160, 0.02
83000, 0.01158, 0.02
84000, 0.01182, 0.02
85000, 0.01185, 0.02
86000, 0.01114, 0.02
87000, 0.01106, 0.02
88000, 0.01120, 0.02
89000, 0.01156, 0.02
90000, 0.01093, 0.02
91000, 0.01103, 0.02
92000, 0.01208, 0.02
93000, 0.01057, 0.02
94000, 0.01057, 0.02
95000, 0.01051, 0.02
96000, 0.01124, 0.02
97000, 0.01087, 0.02
98000, 0.01140, 0.02
99000, 0.01005, 0.02
100000, 0.01026, 0.02
